Product_Weight,Product_Sugar_Content,Product_Allocated_Area,Product_Type,Product_MRP,Store_Establishment_Year,Store_Size,Store_Location_City_Type,Store_Type,Store_Age,Price_Per_Weight,Product_Store_Sales_Total
12.44,0,0.061,3,137.09,2009,1,1,3,15,11.019210674383089,3202.79
12.32,2,0.032,14,181.1,1987,0,1,2,37,14.698482266049833,4075.27
18.12,0,0.031,4,202.1,1999,1,0,0,25,11.15280613652668,5815.38
13.21,0,0.059,14,151.87,2009,1,1,3,15,11.49572326091893,3677.56
7.72,0,0.07,6,123.45,1998,2,2,1,26,15.98886154643181,1856.55
11.8,1,0.046,9,164.82,2009,1,1,3,15,13.966612998898398,3623.93
14.19,0,0.08,6,143.34,2009,1,1,3,15,10.100768092452965,3724.87
13.09,0,0.112,14,123.09,2009,1,1,3,15,9.40264303720113,3062.32
12.01,2,0.019,3,134.17,2009,1,1,3,15,11.170593622512696,3043.86
15.55,0,0.054,5,175.65,1987,0,1,2,37,11.295093563114913,4693.61
14.84,0,0.064,4,135.55,2009,1,1,3,15,9.133481571322688,3712.61
12.04,1,0.064,8,99.19,1987,0,1,2,37,8.237687899676107,2336.73
17.15,0,0.094,0,182.91,1999,1,0,0,25,10.664684274969389,5203.29
9.77,0,0.03,4,132.65,2009,1,1,3,15,13.575887831337633,4328.48
9.88,0,0.032,13,142.22,2009,1,1,3,15,14.393280032385386,2727.08
11.85,0,0.137,1,172.17,2009,1,1,3,15,14.527887941945828,3787.16
15.83,0,0.065,5,180.77,1987,0,1,2,37,11.418735392584171,4861.63
10.71,2,0.066,3,118.97,1987,0,1,2,37,11.107272897021753,2440.96
11.45,0,0.034,4,133.9,2009,1,1,3,15,11.693301895031004,2911.86
10.09,0,0.038,5,129.34,2009,1,1,3,15,12.817362005747697,2511.29
10.15,1,0.016,9,104.0,1998,2,2,1,26,10.245296029947788,2007.09
14.76,1,0.161,9,188.48,1987,0,1,2,37,12.768782602804688,4776.98
13.89,0,0.016,1,143.01,2009,1,1,3,15,10.295155136419263,3649.8
14.53,0,0.092,1,218.91,1999,1,0,0,25,15.065033376918313,5348.62
12.68,0,0.017,13,102.94,2009,1,1,3,15,8.117656336251084,2556.84
13.48,2,0.129,5,142.83,2009,1,1,3,15,10.59491135672428,3554.49
12.41,1,0.042,8,166.09,2009,1,1,3,15,13.38248328096044,3788.44
9.82,0,0.045,0,128.34,1987,0,1,2,37,13.067915690866512,2431.05
10.3,0,0.116,14,130.39,2009,1,1,3,15,12.65799436947869,2581.85
13.14,2,0.034,5,97.35,2009,1,1,3,15,7.408112015828323,2546.15
11.92,2,0.031,4,138.42,1998,2,2,1,26,11.611441993121382,800.44
10.94,0,0.138,4,121.01,2009,1,1,3,15,11.06023215428206,2532.68
11.65,0,0.058,6,135.76,2009,1,1,3,15,11.652218693674362,2996.96
11.48,0,0.122,4,153.27,2009,1,1,3,15,13.349882414423831,3316.49
11.72,0,0.022,10,133.1,2009,1,1,3,15,11.355686374882689,2956.82
15.11,1,0.014,8,176.72,1987,0,1,2,37,11.694791873469658,4615.65
13.67,0,0.028,5,141.51,2009,1,1,3,15,10.351108185209567,3570.19
10.8,1,0.07,8,135.13,2009,1,1,3,15,12.510878622349782,2790.07
15.97,0,0.011,10,169.76,1987,0,1,2,37,10.629265543798134,4668.59
13.57,2,0.044,4,121.38,2009,1,1,3,15,8.94407191806057,3135.0
16.24,0,0.032,6,196.44,1999,1,0,0,25,12.095314327935473,5273.89
14.3,0,0.076,4,159.21,1987,0,1,2,37,11.132787916928887,4074.0
14.4,0,0.021,4,174.68,1999,1,0,0,25,12.129713214360114,4414.95
12.26,1,0.159,9,124.22,2009,1,1,3,15,10.131310659815677,2896.91
12.71,0,0.18,6,183.54,1999,1,0,0,25,14.43946188340807,4212.43
16.09,2,0.138,6,161.68,1987,0,1,2,37,10.047852836989621,4530.6
7.11,0,0.065,5,96.54,1998,2,2,1,26,13.576149627337927,1167.43
13.08,0,0.128,10,146.35,2009,1,1,3,15,11.187982570139898,4334.63
9.2,0,0.081,13,108.37,1998,2,2,1,26,11.778067601347681,1881.0
16.15,2,0.185,3,168.51,1987,0,1,2,37,10.433409695994056,4684.13
13.44,0,0.011,7,153.62,2009,1,1,3,15,11.429209136224985,3765.08
11.99,2,0.081,4,122.18,2009,1,1,3,15,10.189308648152782,2794.79
12.58,2,0.174,5,110.83,2009,1,1,3,15,8.809315634687227,2696.92
10.85,2,0.111,14,102.41,1998,2,2,1,26,9.437839830430375,2132.57
13.73,0,0.027,6,157.0,2009,1,1,3,15,11.433981501711456,2842.69
14.94,0,0.098,3,132.02,2009,1,1,3,15,8.836088615219866,3662.7
12.33,2,0.16,10,111.53,2009,1,1,3,15,9.044684129429893,2653.7
17.33,1,0.038,8,195.06,1999,1,0,0,25,11.25497663146962,5492.55
13.51,0,0.047,0,144.06,2009,1,1,3,15,10.662423210717193,3586.98
11.49,0,0.06,4,94.19,1998,2,2,1,26,8.196849708467496,2110.46
10.1,0,0.006,6,117.76,1998,2,2,1,26,11.65825165825166,2277.36
13.75,0,0.038,13,150.43,2009,1,1,3,15,10.939568031415899,3771.58
14.52,2,0.019,0,214.98,1999,1,0,0,25,14.80476551201708,5264.97
13.45,2,0.106,0,141.05,2009,1,1,3,15,10.486209203776673,3511.42
11.47,0,0.058,10,178.4,2009,1,1,3,15,15.552262226484178,3827.72
16.03,0,0.064,10,194.26,1999,1,0,0,25,12.117771817104359,5184.12
19.82,0,0.014,3,210.94,1998,2,2,1,26,10.642248120680085,2129.71
11.74,1,0.026,9,123.21,2009,1,1,3,15,10.493995400732476,2760.22
15.79,0,0.069,3,144.12,1987,0,1,2,37,9.126717750617441,4102.26
14.77,0,0.077,15,187.72,1987,0,1,2,37,12.708685938663598,4763.72
13.7,0,0.07,13,183.45,1999,1,0,0,25,13.389533610685351,4435.82
13.06,2,0.191,13,151.96,2009,1,1,3,15,11.634637470331523,3646.25
12.95,1,0.085,9,107.38,2009,1,1,3,15,8.291251640799938,4332.32
13.04,0,0.028,1,126.64,1999,1,0,0,25,9.710911739897249,6660.96
13.05,2,0.014,5,169.41,1987,0,1,2,37,12.980614512297908,4001.06
14.77,1,0.041,11,130.2,1999,1,0,0,25,8.81456908807799,6405.03
14.32,2,0.03,5,194.4,1987,0,1,2,37,13.57447105649047,4798.7
11.54,2,0.071,14,107.03,1987,0,1,2,37,9.273893076856426,2382.28
16.12,1,0.12,8,175.82,1987,0,1,2,37,10.906271323118911,4825.55
15.27,2,0.082,14,144.22,2009,1,1,3,15,9.444044266911138,3988.19
11.77,2,0.068,3,140.05,2009,1,1,3,15,11.89788463172203,3111.23
10.85,2,0.066,0,143.92,2009,1,1,3,15,13.263293705649248,2981.2
11.01,0,0.147,6,92.24,1998,2,2,1,26,8.37707746798656,1960.49
10.55,2,0.08,13,94.69,1998,2,2,1,26,8.974504786276182,1908.09
8.49,0,0.083,13,133.15,1998,2,2,1,26,15.681309621952657,2227.81
9.75,0,0.009,13,116.15,1998,2,2,1,26,11.911598810378424,2165.05
14.54,0,0.128,4,175.77,1999,1,0,0,25,12.087889416133693,4468.82
15.98,0,0.106,13,169.63,1987,0,1,2,37,10.614479694637382,4668.38
12.4,2,0.086,6,187.48,1999,1,0,0,25,15.118135634223046,4222.99
9.77,0,0.055,3,139.51,2009,1,1,3,15,14.277965407839526,2647.72
11.14,2,0.016,3,109.91,1987,0,1,2,37,9.86536217574724,2352.39
13.81,1,0.013,8,170.97,1999,1,0,0,25,12.379262906378973,4204.48
17.24,0,0.034,4,205.11,1999,1,0,0,25,11.896641726117975,5678.44
11.48,0,0.097,3,148.56,2009,1,1,3,15,12.93963940423308,3219.19
13.08,1,0.052,8,202.0,1999,1,0,0,25,15.442244476721964,5449.81
8.34,2,0.024,3,125.95,1998,2,2,1,26,15.100107900731329,2046.14
12.51,0,0.043,4,102.78,2009,1,1,3,15,8.215170649828153,2516.6
14.74,2,0.083,14,167.42,1999,1,0,0,25,11.357438437012414,4342.22
14.14,1,0.064,9,119.88,2009,1,1,3,15,8.477476840393182,3233.7
13.21,0,0.067,13,157.8,2009,1,1,3,15,11.94459162818863,3800.42
13.77,0,0.107,2,130.94,2009,1,1,3,15,9.508387190472734,3375.92
12.82,2,0.184,0,133.98,2009,1,1,3,15,10.450042898369862,3223.86
12.02,0,0.163,6,123.66,2009,1,1,3,15,10.286997753930622,2831.06
14.08,0,0.047,4,133.08,2009,1,1,3,15,9.451033307293518,3490.85
11.72,0,0.054,13,143.43,2009,1,1,3,15,12.237010493985155,3167.74
13.68,0,0.041,7,196.53,1987,0,1,2,37,14.365177984065493,4697.71
13.28,0,0.084,10,148.86,2009,1,1,3,15,11.208493336345157,3631.96
9.64,1,0.03,9,141.23,2009,1,1,3,15,14.648895342806762,2721.32
12.1,0,0.12,0,126.21,2009,1,1,3,15,10.429716552351046,2901.63
10.33,0,0.047,13,133.86,2009,1,1,3,15,12.957119349530542,2659.17
7.13,0,0.074,5,83.24,1998,2,2,1,26,11.672977142055812,900.16
12.48,2,0.214,4,105.0,2009,1,1,3,15,8.412787436904095,2554.01
12.24,0,0.136,6,147.39,2009,1,1,3,15,12.040682950739319,3366.85
12.54,0,0.023,6,178.97,1987,0,1,2,37,14.270791802886533,4081.38
8.87,0,0.088,0,113.03,1998,2,2,1,26,12.741517303573444,1901.95
12.18,0,0.097,1,137.39,2009,1,1,3,15,11.279041129628109,3149.32
12.17,0,0.059,10,177.83,2009,1,1,3,15,14.610960479829103,3973.77
11.92,0,0.028,13,176.11,2009,1,1,3,15,14.773089505913935,3882.25
10.92,2,0.031,4,110.63,1987,0,1,2,37,10.130024723010713,2315.7
13.34,0,0.093,10,124.78,1999,1,0,0,25,9.353121954875947,5703.97
11.31,0,0.152,3,146.11,2009,1,1,3,15,12.917513924498277,3131.78
10.66,0,0.174,15,141.0,2009,1,1,3,15,13.225776193602853,1640.82
12.88,2,0.026,0,89.6,1987,0,1,2,37,6.955981678441114,2329.47
11.01,2,0.117,5,114.6,1987,0,1,2,37,10.40777404413768,2417.79
11.59,2,0.015,5,136.89,2009,1,1,3,15,11.810025019411611,3005.51
14.02,0,0.129,3,112.36,2009,1,1,3,15,8.013693745096642,3051.8
15.23,0,0.047,14,158.9,1999,1,0,0,25,10.432670212067494,4279.28
15.03,0,0.066,4,117.04,2009,1,1,3,15,7.786574412880049,3376.82
12.47,0,0.035,14,147.92,2009,1,1,3,15,11.861117793280409,3429.8
9.37,0,0.049,14,94.63,1998,2,2,1,26,10.09817522142781,1638.08
15.12,2,0.058,5,133.4,2009,1,1,3,15,8.82216784604193,3730.93
12.88,0,0.044,13,98.09,2009,1,1,3,15,7.615091995963047,2503.26
15.52,0,0.053,3,173.65,1987,0,1,2,37,11.188067779137944,4646.17
11.47,2,0.047,4,130.27,2009,1,1,3,15,11.356464126928778,1979.46
11.1,0,0.053,1,122.31,2009,1,1,3,15,11.01792631294478,2596.24
14.08,1,0.047,9,173.2,1999,1,0,0,25,12.300262765428592,4311.19
17.42,0,0.027,0,143.85,1998,2,2,1,26,8.257275701739278,1901.04
15.14,2,0.031,5,166.7,1999,1,0,0,25,11.009840829535698,4417.93
14.14,2,0.02,4,147.81,2009,1,1,3,15,10.45258468283714,3804.8
13.59,0,0.069,4,150.54,2009,1,1,3,15,11.076447649179604,3735.87
11.52,1,0.066,11,109.74,1987,0,1,2,37,9.525214825101989,2433.52
13.7,1,0.116,9,131.24,2009,1,1,3,15,9.578862856725788,3367.55
9.2,2,0.15,3,84.37,1998,2,2,1,26,9.16965547223128,1390.69
16.4,1,0.227,8,158.93,1987,0,1,2,37,9.690262788854339,4543.65
14.76,0,0.033,5,145.42,2009,1,1,3,15,9.851636068017072,3896.2
14.35,1,0.053,9,173.04,1999,1,0,0,25,12.057696327782036,4369.89
13.36,2,0.104,0,109.88,2009,1,1,3,15,8.223935334181574,2853.77
8.32,0,0.084,13,116.5,1998,2,2,1,26,14.000721067179427,1848.69
12.23,0,0.054,6,152.83,2009,1,1,3,15,12.49529883083967,3477.12
12.21,0,0.205,15,142.68,2009,1,1,3,15,11.684546720170339,3264.16
7.02,2,0.029,0,50.42,1998,2,2,1,26,7.181313203247401,203.55
13.46,1,0.08,9,148.75,2009,1,1,3,15,11.050442017680707,3670.67
11.48,0,0.107,10,112.69,1987,0,1,2,37,9.815347095200766,2485.22
13.07,0,0.045,14,161.18,2009,1,1,3,15,12.331114681355674,3836.9
9.37,0,0.068,13,104.81,1998,2,2,1,26,11.184505388965961,1847.26
10.46,0,0.137,0,117.84,1987,0,1,2,37,11.264697447662748,2413.39
10.72,2,0.119,3,127.9,2009,1,1,3,15,11.929857289431956,2626.22
14.42,0,0.067,0,181.17,1987,0,1,2,37,12.562929061784896,4550.07
14.93,0,0.083,14,189.03,1987,0,1,2,37,12.660237090616839,4826.27
13.33,2,0.082,4,135.39,2009,1,1,3,15,10.156027304778336,3368.53
14.28,1,0.169,8,160.97,1987,0,1,2,37,11.271619634479379,4106.49
13.54,0,0.1,13,154.55,2009,1,1,3,15,11.413484971567833,3808.62
14.82,2,0.03,0,190.42,1987,0,1,2,37,12.847985965859253,4830.81
10.02,2,0.132,13,120.83,1987,0,1,2,37,12.057678874363837,2322.64
12.78,0,0.169,13,152.33,2009,1,1,3,15,11.918472732962995,3589.82
12.66,2,0.066,6,117.41,2009,1,1,3,15,9.273359134349578,2849.03
13.04,0,0.058,13,91.53,1987,0,1,2,37,7.018633540372671,2405.69
10.54,2,0.067,3,172.61,2009,1,1,3,15,16.37510672611707,3500.18
14.91,0,0.1,10,166.86,1999,1,0,0,25,11.190396351686676,4368.82
11.43,2,0.065,0,99.29,1998,2,2,1,26,8.686029218791008,2200.72
8.81,0,0.157,13,167.03,2009,1,1,3,15,18.95698558619907,2993.9
14.61,0,0.093,15,147.49,2009,1,1,3,15,10.094449387447815,3905.37
12.75,2,0.007,13,146.47,2009,1,1,3,15,11.486942200611717,3463.73
11.2,2,0.069,13,124.4,2009,1,1,3,15,11.106151236496743,2661.55
7.94,0,0.012,7,131.06,1998,2,2,1,26,16.504218612265458,2062.07
14.72,2,0.033,13,183.18,1987,0,1,2,37,12.443448135316894,4659.17
14.91,2,0.037,13,182.95,1987,0,1,2,37,12.269465495271946,4697.83
16.9,0,0.122,10,243.98,1999,1,0,0,25,14.435832199278149,6396.62
12.77,1,0.083,8,175.12,1987,0,1,2,37,13.712316968130922,4053.74
12.16,1,0.039,9,124.07,2009,1,1,3,15,10.202285996217416,2872.23
10.37,0,0.024,6,126.19,2009,1,1,3,15,12.167582682479994,2511.3
14.34,2,0.021,0,168.19,1999,1,0,0,25,11.727912976779862,4268.48
13.28,1,0.073,9,154.5,2009,1,1,3,15,11.633160153602892,3747.47
16.1,0,0.027,10,156.81,1999,1,0,0,25,9.739146636854853,4433.44
16.66,2,0.04,10,203.88,1999,1,0,0,25,12.236960566592641,5522.94
15.99,0,0.038,13,164.5,1987,0,1,2,37,10.287036458007629,4563.96
14.27,0,0.01,13,184.71,1987,0,1,2,37,12.94303132226193,4590.05
7.8,0,0.036,4,131.56,1998,2,2,1,26,16.86450455069863,2039.3
18.29,0,0.142,10,146.15,1999,1,0,0,25,7.9902684380296325,4708.24
10.76,2,0.017,3,174.58,2009,1,1,3,15,16.22339931233157,3589.29
11.25,2,0.046,0,191.85,1987,0,1,2,37,17.051817616211892,4053.86
14.82,0,0.027,0,119.5,2009,1,1,3,15,8.06288374603603,3380.37
10.9,0,0.029,4,131.3,2009,1,1,3,15,12.04476653518026,2735.89
16.31,0,0.076,6,192.76,1999,1,0,0,25,11.817791674330206,5215.58
16.73,0,0.066,4,166.21,1987,0,1,2,37,9.934253780407627,4766.5
13.26,0,0.037,4,147.89,2009,1,1,3,15,11.152250961465953,3607.36
11.25,0,0.009,13,142.24,2009,1,1,3,15,12.642431783841438,3037.64
10.33,2,0.032,13,159.28,2009,1,1,3,15,15.41767495886168,3178.88
11.0,1,0.041,8,124.52,2009,1,1,3,15,11.318971002636124,2618.11
11.63,2,0.045,5,139.5,2009,1,1,3,15,11.993809646633995,3068.54
11.79,0,0.144,6,145.5,2009,1,1,3,15,12.339920278178273,3226.73
14.62,2,0.086,7,153.14,1987,0,1,2,37,10.473975788249778,4021.82
11.45,2,0.052,0,154.54,2009,1,1,3,15,13.495764562046984,3335.9
13.83,1,0.1,8,134.77,2009,1,1,3,15,9.7440532137951,3469.51
13.13,2,0.03,5,165.99,2009,1,1,3,15,12.641078364176376,3949.88
12.74,1,0.085,11,145.01,2009,1,1,3,15,11.381367239620124,3432.06
10.32,0,0.024,10,117.27,1987,0,1,2,37,11.362271097761845,2316.16
9.16,2,0.018,13,95.11,1998,2,2,1,26,10.382054360877634,1602.1
16.64,2,0.015,10,172.08,1999,1,0,0,25,10.340724716062736,4867.83
11.68,1,0.097,8,129.87,1998,2,2,1,26,11.118054961047857,1397.17
15.7,0,0.154,5,180.84,1987,0,1,2,37,11.517737723711866,4833.0
12.89,0,0.059,7,148.99,2009,1,1,3,15,11.557675897913274,3547.69
12.13,2,0.073,4,136.15,2009,1,1,3,15,11.22331217541835,3112.24
11.66,0,0.055,6,147.97,2009,1,1,3,15,12.689306234456737,3248.04
15.62,0,0.102,13,200.97,1999,1,0,0,25,12.865373535625121,5226.64
10.48,0,0.169,0,94.81,1998,2,2,1,26,9.0458925675031,1893.13
15.56,2,0.03,6,137.87,2009,1,1,3,15,8.859970438917808,3924.03
12.66,2,0.115,13,132.52,2009,1,1,3,15,10.46678777347761,3158.98
15.19,0,0.023,3,199.94,1999,1,0,0,25,13.161740504245936,5109.74
15.47,2,0.07,4,196.0,1987,0,1,2,37,12.66886432680499,2379.21
14.53,2,0.14,13,154.61,1987,0,1,2,37,10.640011010942125,4033.58
9.14,0,0.098,6,117.87,1998,2,2,1,26,12.894650475877913,2061.73
12.29,0,0.047,2,123.19,2009,1,1,3,15,10.022780896591003,2883.44
10.94,0,0.051,5,133.62,2009,1,1,3,15,12.212777625445574,2792.7
14.93,0,0.085,13,174.03,1987,0,1,2,37,11.655615832831023,4521.29
13.41,0,0.128,3,178.88,1999,1,0,0,25,13.338304377003952,4276.47
10.31,0,0.133,10,114.65,1998,2,2,1,26,11.119193094753177,2261.67
11.53,2,0.083,5,158.53,2009,1,1,3,15,13.748157141618249,3435.06
15.62,0,0.038,15,125.82,2009,1,1,3,15,8.054541962742462,3690.95
12.48,0,0.066,13,109.64,2009,1,1,3,15,8.784552519830141,2649.1
14.24,2,0.108,14,161.97,1987,0,1,2,37,11.373499052032862,4118.31
8.96,2,0.023,7,113.57,1998,2,2,1,26,12.673808726704607,1934.23
11.69,0,0.011,3,135.43,2009,1,1,3,15,11.584124540244634,2998.93
10.63,0,0.282,13,96.15,1998,2,2,1,26,9.044304392813471,1955.33
13.37,1,0.161,8,163.02,2009,1,1,3,15,12.192057437738391,4570.94
10.04,0,0.162,6,118.72,1998,2,2,1,26,11.823523553430935,2282.8
10.62,0,0.036,13,195.34,2009,1,1,3,15,18.391865172770927,3982.0
13.1,0,0.035,10,119.36,2009,1,1,3,15,9.110754904205786,2989.0
12.54,1,0.1,8,217.78,1987,0,1,2,37,17.365441352364247,4874.68
10.97,0,0.045,5,117.36,1987,0,1,2,37,10.697292863002462,2466.69
10.0,2,0.006,0,160.82,2009,1,1,3,15,16.08039196080392,3135.2
13.61,2,0.082,6,160.36,2009,1,1,3,15,11.781647197119979,3942.94
12.58,0,0.057,6,119.09,2009,1,1,3,15,9.465861219298944,2866.0
14.33,1,0.061,8,138.52,2009,1,1,3,15,9.665759542251065,3658.43
13.26,1,0.01,8,180.65,1999,1,0,0,25,13.622652891938769,4277.59
11.96,2,0.061,14,148.12,2009,1,1,3,15,12.383579968230082,3319.48
16.96,0,0.057,3,180.06,1999,1,0,0,25,10.616119332586521,5102.47
9.83,0,0.131,4,92.19,1998,2,2,1,26,9.377479401891975,1693.14
9.23,1,0.091,8,145.85,2009,1,1,3,15,15.800021666125014,2656.13
9.79,1,0.043,9,99.46,1998,2,2,1,26,10.158308650801757,1832.68
12.37,2,0.049,0,94.72,1987,0,1,2,37,7.6566162800097,2318.2
12.15,1,0.007,9,169.98,2009,1,1,3,15,13.988972101061641,3808.13
12.56,0,0.038,13,152.41,2009,1,1,3,15,12.133588090120213,3541.36
11.5,0,0.021,0,131.1,2009,1,1,3,15,11.399008781845057,2866.1
16.3,1,0.013,9,170.94,1987,0,1,2,37,10.486473222501685,4766.1
12.76,0,0.032,6,82.59,1998,2,2,1,26,6.472063317921793,2159.2
13.35,1,0.149,9,150.59,2009,1,1,3,15,11.279304920979703,3683.78
16.4,2,0.11,6,171.86,1987,0,1,2,37,10.47862935186879,4807.91
13.73,2,0.137,15,120.67,2009,1,1,3,15,8.788143616633894,3157.67
11.02,0,0.027,6,156.98,2009,1,1,3,15,14.243716541148716,3287.17
13.18,2,0.028,1,156.32,2009,1,1,3,15,11.859494727258934,3762.68
13.98,2,0.077,6,176.77,1999,1,0,0,25,12.643587726199844,4362.79
8.43,1,0.026,8,137.92,1987,0,1,2,37,16.358676313604555,2312.43
13.58,2,0.004,3,182.35,1999,1,0,0,25,13.426846329430823,5355.72
14.34,0,0.064,5,201.82,1987,0,1,2,37,14.072937730981103,4956.68
11.61,0,0.079,0,101.77,1998,2,2,1,26,8.764964258031178,2290.84
12.63,0,0.024,13,110.06,2009,1,1,3,15,8.713482701290475,2692.1
10.54,1,0.02,9,115.72,1987,0,1,2,37,10.978085570628973,2336.1
14.46,0,0.038,7,129.92,2009,1,1,3,15,8.984164303990042,3510.88
15.22,2,0.015,6,158.64,1999,1,0,0,25,10.422442677879244,4271.53
15.09,0,0.011,13,151.69,1987,0,1,2,37,10.051686435623882,4100.39
13.22,1,0.292,9,195.82,1987,0,1,2,37,14.811285076771801,4579.84
14.32,2,0.128,6,149.82,2009,1,1,3,15,10.46155994693108,3886.98
11.26,0,0.08,3,161.09,2009,1,1,3,15,14.30512387887399,3426.12
11.91,2,0.115,6,121.68,2009,1,1,3,15,10.215766938124423,2766.87
10.67,0,0.079,3,124.92,2009,1,1,3,15,11.706494236716335,2552.85
11.93,0,0.048,4,174.57,2009,1,1,3,15,14.631631883329144,3852.3
14.5,2,0.067,3,194.8,1987,0,1,2,37,13.433556306461625,4847.27
16.7,0,0.099,1,131.03,1987,0,1,2,37,7.845637985749356,4040.92
8.18,0,0.073,10,106.54,1998,2,2,1,26,13.022857841339691,1613.54
14.23,2,0.063,10,190.67,1987,0,1,2,37,13.398215164078419,4701.95
13.58,1,0.077,8,182.08,1999,1,0,0,25,13.406965613725058,4380.79
